USERNAME,RANK,RATING,MAX RATING,TWITTER HANDLE,COUNTRY
tourist,1st,4069,4208,que_tourist, Belarus
Um_nik,2nd,3814,3919,Um_nik96, Russia
yutaka1999,3rd,3724,3724, , Japan
Petr,4th,3714,3714,PetrMitrichev, Russia
w4yneb0t,5th,3710,3802, , Switzerland
LHiC,6th,3672,3720, , Russia
ksun48,7th,3633,3633, , Canada
apiad,8th,3621,3621, , Samoa
cospleermusora,9th,3578,3578, , Russia
semiexp,10th,3513,3520,semiexp, Japan
Egor,11th,3477,3477, , Germany
SpyCheese,12th,3422,3506, , Russia
yosupo,13th,3417,3417,yosupot, Japan
Marcin,14th,3411,3527, , Poland
endagorion,15th,3392,3431,endagorion, Russia
vepifanov,16th,3339,3339, , Russia
XraY,17th,3321,3321, , Russia
jcvb,18th,3310,3407,jcvbcn, China
pashka,19th,3293,3316,pmavrin, Russia
kunyavskiy,20th,3292,3292,kunyavskiy, Russia
dotorya,21st,3285,3285, , Republic of Korea
snuke,22nd,3265,3303,snuke_, Japan
Stonefeang,23rd,3224,3265, , Poland
KujouKaren,24th,3208,3208, , China
sugim48,25th,3206,3319,sugim48, Japan
simonlindholm,26th,3201,3201, , Sweden
DEGwer,27th,3191,3195, , Japan
matthew99,28th,3177,3216,matthew99a, China
dreamoon,29th,3176,3218,dreamoon4, Taiwan
StanislavErshov,30th,3130,3130, , Russia
shik,31st,3125,3130,ShikChen, Taiwan
Merkurev,32nd,3119,3242,O_Merkurev, Russia
sevenkplus,33rd,3110,3208,sevenkplus, China
zemen,34th,3107,3155,jinotega3000, Russia
maryanna2016,35th,3101,3101, , China
Swistakk,36th,3099,3163, , Poland
ainta,37th,3080,3151, , Republic of Korea
Factorio,38th,3077,3134,Factorio, Hong Kong
qwerty787788,39th,3073,3183,qwerty787788, Ukraine
niyaznigmatul,40th,3072,3072, , Russia
koosaga,41st,3071,3079,koosaga, Republic of Korea
sigma425,42nd,3068,3098,sigma425, Japan
WA_TLE,43rd,3064,3064,tle_wa, Japan
Errichto,44th,3061,3061, , Poland
molamola,45th,3058,3094, , Republic of Korea
aid,46th,3045,3121, , Russia
aitch,47th,3041,3041, , Sweden
wxh010910,48th,3037,3037, , China
eatmore,49th,3036,3062, , Russia
miaom,50th,3035,3067, , China
Kostroma,51st,3027,3027, , Russia
TeaPot,52nd,3018,3091, , Russia
ariacas,53rd,3014,3049, , Russia
HellKitsune,54th,3012,3147, , Russia
aaaaajack,54th,3012,3012, , Taiwan
fizzydavid,56th,3005,3005, , China
hogloid,57th,3002,3002,hogloid, Japan
yokozuna57,58th,2990,2990,yokozuna_57, Japan
SanSiroWaltz,59th,2983,3083, , China
Gullesnuffs,60th,2980,3039, , Sweden
ilyakor,61st,2976,3088, , Switzerland
japlj,62nd,2973,3037,japlj, Japan
Reyna,63rd,2966,3121, , Iran
Zlobober,64th,2960,3057, , Russia
liympanda,65th,2959,3028, , China
maroonrk,65th,2959,3018,maroon_kuri, Japan
ACRush,67th,2956,2956, , China
qiaoranliqu,68th,2954,2954, , China
sky58,69th,2952,3127,skyaozora, Japan
izban,70th,2949,2969,iizban, Russia
tozangezan,70th,2949,3022,hoppou_erika, Panama
Rafbill,72nd,2947,2947, , France
asi1024,72nd,2947,2947,asi1024, Japan
kmjp,74th,2943,3050, , Japan
uwi,75th,2941,3142,uwitenpen, Japan
krijgertje,76th,2938,2938, , Netherlands
Benq,77th,2937,2937, , United States of America
Golovanov399,78th,2927,3011,html_sanek, Russia
riadwaw,78th,2927,2999, , Russia
mmaxio,80th,2926,3005, , Russia
voover,81st,2922,3020, , Poland
latte0119,82nd,2921,2922,LatteMalta, Japan
Huziwara,82nd,2921,3099,HziwarA, Japan
chokudai,82nd,2921,2978,chokudai, Japan
cgy4ever,85th,2919,2928, , China
KAN,86th,2917,3034, , Russia
baz93,87th,2915,2915, , Russia
alex20030190,88th,2909,2979, , Hong Kong
Alex_2oo8,89th,2907,3094, , Latvia
LeBron,90th,2905,2986, , Ukraine
yjqqqaq,91st,2903,2903, , China
RomaWhite,92nd,2902,2902, , Ukraine
OMTWOCZWEIXVI,93rd,2894,2894, , China
dbradac,94th,2880,2880, , Croatia
Zero_sharp,95th,2879,2879, , Viet Nam
geniucos,96th,2878,2944, , Romania
khadaev,97th,2876,3002, , Russia
AngryBacon,97th,2876,2876,CenoLiu, China
King_George,99th,2870,2870, , China
kawatea,100th,2869,2940,kawatea03, Japan
tinsane,101st,2857,2857, , Russia
jonathanirvings,102nd,2853,2853,jonathanirvings, Indonesia
Aug-14,103rd,2852,2880, , Republic of Korea
sd0061,104th,2849,2849,sd_invol, China
t1016d,105th,2848,2848, , Taiwan
waltz,106th,2846,2846, , China
IH19980412,107th,2845,2952,HIR180, Japan
Stilwell,108th,2841,2841, , China
nuip,109th,2840,2902, , Japan
tomerun,109th,2840,2874,tomerun, Japan
zhouyuyang,111st,2839,2847, , China
rqgao2014,111st,2839,2839,rqgao2014, China
VArtem,113rd,2837,2837, , Russia
mn3twe,114th,2835,2835, , China
ikatanic,115th,2832,2832,ikatanic, Croatia
fqw,116th,2828,2828, , China
DmitryGrigorev,117th,2827,2827, , Russia
desert97,118th,2825,2931, , United States of America
math,119th,2824,2824,__math, Japan
fateice,120th,2823,2823, , China
kobae964,120th,2823,2823,kobae964, Japan
fjzzq2002,122nd,2822,2822, , China
natsugiri,122nd,2822,2861, , Japan
krismaz,124th,2819,2855, , Poland
E869120,125th,2814,2816,e869120, Japan
KrK,126th,2812,2903,KKusas, Lithuania
Laakeri,127th,2810,2810, , Finland
xyz111,128th,2805,2806, , China
y0105w49,129th,2803,2803, , Canada
majk,130th,2802,2816, , Czech Republic
Deemo,130th,2802,2940, , Iran
USA,132nd,2793,2893, , Georgia
eddy1021,133rd,2790,2879, , Taiwan
atatomir,134th,2787,2800,--, Romania
joisino,134th,2787,2787,joisino_, Japan
mjhun,136th,2778,2778,mjhunicken, Argentina
YMDragon,137th,2769,2769, , China
jerrym,137th,2769,2769, , Australia
johnchen902,139th,2765,2765,johnchen902, Taiwan
zigui,140th,2760,2783,_zigui_, Republic of Korea
rickytheta,141st,2754,2779,rickytheta, Japan
rajat1603,142nd,2750,2750, , India
camypaper,143rd,2749,2749,camypaper, 
l__ZeRo_t,144th,2747,2747, , Equatorial Guinea
zscoder,145th,2741,2850, , Malaysia
wo01,146th,2739,2739,wo_M, Japan
mcfx,147th,2733,2733, , Japan
ildargainull,148th,2729,2809, , Russia
sfiction,148th,2729,2761, , China
